"K.G.F. Chapter 2",2020-10-23
Radhe,2020-05-22
Thalaivi,2020-06-26
"F9: The Fast Saga",2021-04-02
"Top Gun: Maverick",2020-06-26
"Wonder Woman 1984",2020-08-14
"Black Widow",2020-11-06
"No Time To Die",2020-11-25
"Laxmmi Bomb",2020-05-22
"Artemis Fowl",2020-05-29
"Green Knight",2020-05-29
"My Spy",2020-06-01
"The Secret Garden",2020-06-01
Misbehaviour,2020-06-01
"The Secret: Dare to Dream",2020-06-01
"The Personal History of David Copperfield",2020-06-01
Soul,2020-06-19
Shershaah,2020-07-03
Tenet,2020-07-17
"Jungle Cruise",2020-07-24
Shamshera,2020-07-30
"Bhool Bhulaiya 2",2020-07-31
Morbius,2020-07-31
"Gangubai Kathiawadi",2020-09-11
Rambo,2020-10-02
Toofan,2020-10-02
"Satyameva Jayate 2",2020-10-02
Prithviraj,2020-11-13
"Laal Singh Chaddha",2020-12-25
"Bachchan Pandey",2021-01-22
"Bell Bottom",2021-04-02
Takht,2021-12-24
"Black Adam",
